time,piece_seq,frame,piece_id,row,col,rotation,leftmost_col,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,col_h_7,col_h_8,col_h_9,locked,lines_cleared
1761417348.4803169,0,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761417348.6860511,0,1,3,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761417348.8921459,0,2,3,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761417348.966298,0,3,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1761417348.966352,0,4,3,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1761417349.1445918,0,5,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1761417349.144643,0,6,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1761417349.298902,0,7,3,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1761417349.2989519,0,8,3,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1761417349.444745,0,9,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1761417349.4448261,0,10,3,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1761417349.651979,0,11,3,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1761417349.689685,0,12,3,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417349.689755,0,13,3,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417349.8961122,0,14,3,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417350.0533068,0,15,3,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417350.053421,0,16,3,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417350.053486,0,17,3,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417350.053544,0,18,3,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417350.053602,0,19,3,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417350.053659,0,20,3,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417350.053715,0,21,3,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417350.053772,0,22,3,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417350.0538292,0,23,3,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417350.053886,0,24,3,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1761417350.054213,0,25,3,19,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1761417350.054317,1,0,7,0,4,0,3,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.210817,1,1,7,0,3,0,2,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.210905,1,2,7,1,3,0,2,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.398638,1,3,7,1,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.398674,1,4,7,2,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.592742,1,5,7,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.59283,1,6,7,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.789933,1,7,7,4,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.99409,1,8,7,5,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.99891,1,9,7,6,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.998948,1,10,7,7,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.998979,1,11,7,8,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.999008,1,12,7,9,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.9996731,1,13,7,10,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.9997241,1,14,7,11,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.999758,1,15,7,12,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.999788,1,16,7,13,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.999839,1,17,7,14,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.999868,1,18,7,15,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.9998982,1,19,7,16,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417350.9999318,1,20,7,17,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1761417351.0000799,1,21,7,17,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0
1761417351.00013,2,0,2,0,4,0,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417351.206482,2,1,2,1,4,0,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417351.217676,2,2,2,1,5,0,4,3,3,2,0,0,0,0,0,0,0,0,0
1761417351.2177548,2,3,2,2,5,0,4,3,3,2,0,0,0,0,0,0,0,0,0
1761417351.424661,2,4,2,3,5,0,4,3,3,2,0,0,0,0,0,0,0,0,0
1761417351.6317801,2,5,2,4,5,0,4,3,3,2,0,0,0,0,0,0,0,0,0
1761417351.77206,2,6,2,4,5,1,5,3,3,2,0,0,0,0,0,0,0,0,0
1761417351.772146,2,7,2,5,5,1,5,3,3,2,0,0,0,0,0,0,0,0,0
1761417351.9789178,2,8,2,6,5,1,5,3,3,2,0,0,0,0,0,0,0,0,0
1761417352.1283782,2,9,2,6,5,2,4,3,3,2,0,0,0,0,0,0,0,0,0
1761417352.1284301,2,10,2,7,5,2,4,3,3,2,0,0,0,0,0,0,0,0,0
1761417352.333915,2,11,2,8,5,2,4,3,3,2,0,0,0,0,0,0,0,0,0
1761417352.540863,2,12,2,9,5,2,4,3,3,2,0,0,0,0,0,0,0,0,0
1761417352.542528,2,13,2,9,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417352.5425541,2,14,2,10,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417352.748538,2,15,2,11,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417352.956002,2,16,2,12,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417353.163588,2,17,2,13,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417353.366223,2,18,2,14,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417353.573744,2,19,2,15,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417353.7811708,2,20,2,16,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417353.9254458,2,21,2,17,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417353.925487,2,22,2,18,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417353.925518,2,23,2,19,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0
1761417353.925616,2,24,2,19,4,2,3,3,3,2,0,0,0,0,0,0,0,1,0
1761417353.925657,3,0,5,0,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417354.131965,3,1,5,1,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417354.238985,3,2,5,1,3,0,2,3,3,2,1,1,2,0,0,0,0,0,0
1761417354.239074,3,3,5,2,3,0,2,3,3,2,1,1,2,0,0,0,0,0,0
1761417354.445875,3,4,5,3,3,0,2,3,3,2,1,1,2,0,0,0,0,0,0
1761417354.651357,3,5,5,4,3,0,2,3,3,2,1,1,2,0,0,0,0,0,0
1761417354.857286,3,6,5,5,3,0,2,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.064749,3,7,5,6,3,0,2,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.186771,3,8,5,6,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.1868129,3,9,5,7,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.393006,3,10,5,8,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.600287,3,11,5,9,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.804273,3,12,5,10,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.847898,3,13,5,11,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.8479428,3,14,5,12,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.8479738,3,15,5,13,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.8480031,3,16,5,14,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.848032,3,17,5,15,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.8480608,3,18,5,16,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.848089,3,19,5,17,4,0,3,3,3,2,1,1,2,0,0,0,0,0,0
1761417355.848203,3,20,5,17,4,0,3,3,3,2,1,1,2,0,0,0,0,1,0
1761417355.848254,4,0,1,0,4,0,3,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.054089,4,1,1,1,4,0,3,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.182485,4,2,1,1,3,0,2,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.182571,4,3,1,2,3,0,2,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.3882592,4,4,1,3,3,0,2,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.596867,4,5,1,4,3,0,2,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.609555,4,6,1,4,4,0,3,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.609597,4,7,1,5,4,0,3,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.686411,4,8,1,5,4,1,5,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.68645,4,9,1,6,4,1,5,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.890954,4,10,1,7,4,1,5,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.8930938,4,11,1,7,5,1,6,3,3,2,2,3,3,0,0,0,0,0,0
1761417356.89313,4,12,1,8,5,1,6,3,3,2,2,3,3,0,0,0,0,0,0
1761417357.099421,4,13,1,9,5,1,6,3,3,2,2,3,3,0,0,0,0,0,0
1761417357.306836,4,14,1,10,5,1,6,3,3,2,2,3,3,0,0,0,0,0,0
1761417357.351151,4,15,1,11,5,1,6,3,3,2,2,3,3,0,0,0,0,0,0
1761417357.351198,4,16,1,12,5,1,6,3,3,2,2,3,3,0,0,0,0,0,0
1761417357.351253,4,17,1,13,5,1,6,3,3,2,2,3,3,0,0,0,0,0,0
1761417357.351288,4,18,1,14,5,1,6,3,3,2,2,3,3,0,0,0,0,0,0
1761417357.351317,4,19,1,15,5,1,6,3,3,2,2,3,3,0,0,0,0,0,0
1761417357.3513448,4,20,1,16,5,1,6,3,3,2,2,3,3,0,0,0,0,0,0
1761417357.351373,4,21,1,17,5,1,6,3,3,2,2,3,3,0,0,0,0,0,0
1761417357.351496,4,22,1,17,5,1,6,3,3,2,2,3,3,0,0,0,0,1,0
1761417357.351543,5,0,6,0,4,0,3,3,3,2,2,3,3,4,0,0,0,0,0
1761417357.558057,5,1,6,1,4,0,3,3,3,2,2,3,3,4,0,0,0,0,0
1761417357.587646,5,2,6,1,3,0,2,3,3,2,2,3,3,4,0,0,0,0,0
