time,piece_seq,frame,piece_id,row,col,rotation,leftmost_col,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,col_h_7,col_h_8,col_h_9,locked,lines_cleared
1761421903.850785,0,0,6,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761421904.056261,0,1,6,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761421904.2628381,0,2,6,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1761421904.302766,0,3,6,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421904.3028018,0,4,6,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421904.4777641,0,5,6,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421904.477866,0,6,6,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421904.6176798,0,7,6,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421904.6177752,0,8,6,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421904.824045,0,9,6,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1761421904.829343,0,10,6,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421904.82939,0,11,6,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.035882,0,12,6,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.240292,0,13,6,9,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.269543,0,14,6,10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.269602,0,15,6,11,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.2696378,0,16,6,12,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.269672,0,17,6,13,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.269705,0,18,6,14,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.269737,0,19,6,15,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.269769,0,20,6,16,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.269801,0,21,6,17,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.2698328,0,22,6,18,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.269865,0,23,6,19,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1761421905.270066,0,24,6,19,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0
1761421905.270148,1,0,1,0,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1761421905.474725,1,1,1,1,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1761421905.679072,1,2,1,2,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1761421905.8830469,1,3,1,3,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1761421906.08957,1,4,1,4,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1761421906.2960901,1,5,1,5,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1761421906.4472342,1,6,1,6,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1761421906.5632892,1,7,1,7,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1761421906.703892,1,8,1,8,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
1761421906.814208,1,9,1,9,4,0,3,0,1,2,1,0,0,0,0,0,0,0,0
