piece_seq,frame,piece_id,row,col,rotation,leftmost_col,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,col_h_7,col_h_8,col_h_9,locked,lines_cleared
0,0,6,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,2,6,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,3,6,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,4,6,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,5,6,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,6,6,4,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
0,7,6,5,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
0,8,6,6,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
0,9,6,6,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0
0,10,6,7,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0
0,11,6,8,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0
0,12,6,9,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0
0,13,6,9,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0
0,14,6,10,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0
0,15,6,11,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0
0,16,6,11,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0
0,17,6,12,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0
0,18,6,13,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0
0,19,6,14,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0
0,20,6,15,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0
0,21,6,16,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0
0,22,6,17,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0
0,23,6,18,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0
0,24,6,19,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0
0,25,6,19,7,2,6,0,0,0,0,0,0,0,0,0,0,1,0
1,0,5,0,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,1,5,1,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,2,5,2,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,3,5,2,3,0,2,0,0,0,0,0,0,1,2,1,0,0,0
1,4,5,3,3,0,2,0,0,0,0,0,0,1,2,1,0,0,0
1,5,5,4,3,0,2,0,0,0,0,0,0,1,2,1,0,0,0
1,6,5,4,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,7,5,5,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,8,5,6,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,9,5,7,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,10,5,8,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,11,5,9,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,12,5,9,5,0,4,0,0,0,0,0,0,1,2,1,0,0,0
1,13,5,10,5,0,4,0,0,0,0,0,0,1,2,1,0,0,0
1,14,5,11,5,0,4,0,0,0,0,0,0,1,2,1,0,0,0
1,15,5,12,5,0,4,0,0,0,0,0,0,1,2,1,0,0,0
1,16,5,13,5,0,4,0,0,0,0,0,0,1,2,1,0,0,0
1,17,5,13,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,18,5,14,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,19,5,15,4,0,3,0,0,0,0,0,0,1,2,1,0,0,0
1,20,5,15,5,0,4,0,0,0,0,0,0,1,2,1,0,0,0
1,21,5,16,5,0,4,0,0,0,0,0,0,1,2,1,0,0,0
1,22,5,17,5,0,4,0,0,0,0,0,0,1,2,1,0,0,0
1,23,5,18,5,0,4,0,0,0,0,0,0,1,2,1,0,0,0
1,24,5,18,5,0,4,0,0,0,0,0,0,1,2,1,0,1,0
2,0,2,0,4,0,3,0,0,0,0,1,2,2,2,1,0,0,0
2,1,2,1,4,0,3,0,0,0,0,1,2,2,2,1,0,0,0
2,2,2,2,4,0,3,0,0,0,0,1,2,2,2,1,0,0,0
2,3,2,3,4,0,3,0,0,0,0,1,2,2,2,1,0,0,0
2,4,2,4,4,0,3,0,0,0,0,1,2,2,2,1,0,0,0
2,5,2,4,3,0,2,0,0,0,0,1,2,2,2,1,0,0,0
2,6,2,5,3,0,2,0,0,0,0,1,2,2,2,1,0,0,0
2,7,2,6,3,0,2,0,0,0,0,1,2,2,2,1,0,0,0
2,8,2,7,3,0,2,0,0,0,0,1,2,2,2,1,0,0,0
2,9,2,7,3,1,3,0,0,0,0,1,2,2,2,1,0,0,0
2,10,2,8,3,1,3,0,0,0,0,1,2,2,2,1,0,0,0
2,11,2,8,2,1,2,0,0,0,0,1,2,2,2,1,0,0,0
2,12,2,9,2,1,2,0,0,0,0,1,2,2,2,1,0,0,0
2,13,2,10,2,1,2,0,0,0,0,1,2,2,2,1,0,0,0
2,14,2,10,2,2,1,0,0,0,0,1,2,2,2,1,0,0,0
2,15,2,11,2,2,1,0,0,0,0,1,2,2,2,1,0,0,0
2,16,2,12,2,2,1,0,0,0,0,1,2,2,2,1,0,0,0
2,17,2,12,1,2,0,0,0,0,0,1,2,2,2,1,0,0,0
2,18,2,13,1,2,0,0,0,0,0,1,2,2,2,1,0,0,0
2,19,2,14,1,2,0,0,0,0,0,1,2,2,2,1,0,0,0
2,20,2,15,1,2,0,0,0,0,0,1,2,2,2,1,0,0,0
2,21,2,16,1,2,0,0,0,0,0,1,2,2,2,1,0,0,0
